text,speaker,start,end
 should have had a robot say. So; Finnie; I don't know if you're almost told you much about,SPEAKER_00,0:00:00,0:00:10.280000
 the study already. No; that's fine. She's just volunteered you about 10 years.,SPEAKER_00,0:00:10.280000,0:00:18
 I thought you'd be right through it; yeah. So I will get it up on the screen. I don't know,SPEAKER_00,0:00:18,0:00:23.560000
 about you; but I find it easier to read something sometimes; but I will read out as well.,SPEAKER_00,0:00:23.560000,0:00:27.680000
 So I'll just share my screen. Yeah; should be able to see my screen now. I'll just get this one up.,SPEAKER_00,0:00:27.680000,0:00:37.680000
 Oh; there we go. Fab. Yeah; well; I'm just going to read through it a little bit. So essentially;,SPEAKER_00,0:00:37.680000,0:00:43.120000
 I go to university in London and I'm part of like a team of researchers that we're looking,SPEAKER_00,0:00:43.120000,0:00:47.520000
 into testing this new game that's hoping we hope will help us understand a little bit more,SPEAKER_00,0:00:47.520000,0:00:52.240000
 about pairing and adolescence; like teenagers; relationships and communication. So essentially;,SPEAKER_00,0:00:52.240000,0:00:58.560000
 all you have to do today is play an online game with your mum for eight minutes. We're going to,SPEAKER_00,0:00:58.560000,0:01:03.440000
 use Zoom to record a video of you playing. The game doesn't require any gaming skill. The rules,SPEAKER_00,0:01:03.440000,0:01:09.440000
 are very simple and I'll explain them to you in a second. It's designed to be fun. So hopefully;,SPEAKER_00,0:01:09.440000,0:01:14.800000
 yeah; it will be good. In terms of the information you give us today; so the video; like I said;,SPEAKER_00,0:01:14.800000,0:01:19.920000
 it'll be kept safe and secure. No one outside of the research team will see it and we'd only tell,SPEAKER_00,0:01:19.920000,0:01:24.880000
 someone if we were worried about your safety; which I'm sure we're not going to be. So taking part;,SPEAKER_00,0:01:24.880000,0:01:30.960000
 it's completely up to you. If you've got any questions; you can ask me before we start.,SPEAKER_00,0:01:31.760000,0:01:35.920000
 If you do decide you'd like to take part; we can start now. If you don't; or maybe you decide sort,SPEAKER_00,0:01:36.960000,0:01:41.600000
 of halfway through the game; don't run anymore. You can stop at any time. Yeah; you're all up for it.,SPEAKER_00,0:01:41.600000,0:01:48.400000
 Yeah; yeah; perfect. So I'll stop sharing my screen now. And I'm now going to paste,SPEAKER_00,0:01:48.400000,0:01:53.760000
 into the chat the link of the game. Let's put that in the chat now. So if you're able to just,SPEAKER_00,0:01:54.480000,0:02:04.560000
 open that up. Yeah. And you should get an option that will say either choose between keyboard,SPEAKER_00,0:02:04.560000,0:02:13.120000
 and touch screen. Obviously; just choose which one applies to you. Oh; okay. What when you click on,SPEAKER_00,0:02:13.120000,0:02:17.520000
